Assay Name	Standardised Name	Tumour individual	Sample type	Lineage Assigned	Study (Batch)	Breast Cancer Subtype
ppb.iBAQ.59M_1_Coscia	59M		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.59M_2_Coscia	59M		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.59M_3_Coscia	59M		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.786.O_1_Gholami	786O		CellLine	Kidney	Gholami	#N/A
ppb.iBAQ.A2780.CP70_1_Coscia	A2780CP70		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.A2780.CP70_2_Coscia	A2780CP70		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.A2780.CP70_3_Coscia	A2780CP70		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.A2780_1_Coscia	A2780		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.A2780_2_Coscia	A2780		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.A2780_3_Coscia	A2780		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.A.498_1_Gholami	A498		CellLine	Kidney	Gholami	#N/A
ppb.iBAQ.A.549_1_Bekker.Jensen_Tryp_46Fractions	A549		CellLine	Lung	Bekker.Jensen	#N/A
ppb.iBAQ.A.549_1_Geiger	A549		CellLine	Lung	Geiger	#N/A
ppb.iBAQ.A.549_1_Gholami	A549		CellLine	Lung	Gholami	#N/A
ppb.iBAQ.A.549_2_Bekker.Jensen_Tryp_46Fractions	A549		CellLine	Lung	Bekker.Jensen	#N/A
ppb.iBAQ.A.549_2_Geiger	A549		CellLine	Lung	Geiger	#N/A
ppb.iBAQ.A.549_3_Geiger	A549		CellLine	Lung	Geiger	#N/A
ppb.iBAQ.ACHN_1_Gholami	ACHN		CellLine	Kidney	Gholami	#N/A
ppb.iBAQ.BT.20_1_Lawrence	BT20		CellLine	Breast	Lawrence	TNB (triple negative)
ppb.iBAQ.BT.20_2_Lawrence	BT20		CellLine	Breast	Lawrence	TNB (triple negative)
ppb.iBAQ.BT.474_1_Lawrence	BT474		CellLine	Breast	Lawrence	HER2 (receptor tyrosine-protein kinase erbB-2 amplified)
ppb.iBAQ.BT.474_2_Lawrence	BT474		CellLine	Breast	Lawrence	HER2 (receptor tyrosine-protein kinase erbB-2 amplified)
ppb.iBAQ.BT.549_1_Gholami	BT549		CellLine	Breast	Gholami	TNB (triple negative)
ppb.iBAQ.BT.549_1_Lawrence	BT549		CellLine	Breast	Lawrence	TNB (triple negative)
ppb.iBAQ.BT.549_2_Lawrence	BT549		CellLine	Breast	Lawrence	TNB (triple negative)
ppb.iBAQ.C10_1_Frejno	C10		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.C106_1_Frejno	C106		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.C125PM_1_Frejno	C125PM		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.C125PM_1_Wang	C125PM		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.C135_1_Wang	C135		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.C32_1_Frejno	C32		CellLine	Skin	Frejno	#N/A
ppb.iBAQ.C70_1_Frejno	C70		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.C70_1_Wang	C70		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.C75_1_Frejno	C75		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.C80_1_Frejno	C80		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.C84_1_Frejno	C84		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.C99_1_Frejno	C99		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.CACO2_1_Frejno	CACO2		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.CACO2_1_Wang	CACO2		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.Caki.1_1_Gholami	CAKI1		CellLine	Skin	Gholami	#N/A
ppb.iBAQ.Caov.3_1_Coscia	CAOV3		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.Caov.3_2_Coscia	CAOV3		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.Caov.3_3_Coscia	CAOV3		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.CAR1_1_Frejno	CAR1		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.CC20_1_Frejno	CC20		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.CCK81_1_Frejno	CCK81		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.CCO7_1_Frejno	CCO7		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.CCRF.CEM_1_Gholami	CCRFCEM		CellLine	Blood	Gholami	#N/A
ppb.iBAQ.COCM1_1_Frejno	COCM1		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.COLO.201_1_Wang	COLO201		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.Colo.205_1_Gholami	COLO205		CellLine	Colorectal	Gholami	#N/A
ppb.iBAQ.COLO.205_1_Wang	COLO205		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.COLO.320_1_Wang	COLO320		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.COLO.320DM_1_Frejno	COLO320DM		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.COLO.678_1_Frejno	COLO678		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.COLO.741_1_Frejno	COLO741		CellLine	Skin	Frejno	#N/A
ppb.iBAQ.COV318_1_Coscia	COV318		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.COV318_2_Coscia	COV318		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.COV318_3_Coscia	COV318		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.DiFi_1_Wang	DIFI		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.DLD1_1_Frejno	DLD1		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.DLD1_1_Wang	DLD1		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.DOV13_1_Coscia	DOV13		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.DOV13_2_Coscia	DOV13		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.DOV13_3_Coscia	DOV13		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.DU145_1_Gholami	DU145		CellLine	Prostate	Gholami	#N/A
ppb.iBAQ.DU4475_1_Lawrence	DU4475		CellLine	Breast	Lawrence	TNB (triple negative)
ppb.iBAQ.DU4475_2_Lawrence	DU4475		CellLine	Breast	Lawrence	TNB (triple negative)
ppb.iBAQ.EKVX_1_Gholami	EKVX		CellLine	Lung	Gholami	#N/A
ppb.iBAQ.GAMG_1_Geiger	GAMG		CellLine	Brain	Geiger	#N/A
ppb.iBAQ.GAMG_2_Geiger	GAMG		CellLine	Brain	Geiger	#N/A
ppb.iBAQ.GAMG_3_Geiger	GAMG		CellLine	Brain	Geiger	#N/A
ppb.iBAQ.GEO_1_Wang	GEO		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.GP2D_1_Frejno	GP2D		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.GP5D_1_Wang	GP5D		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.H226_1_Gholami	H226		CellLine	Lung	Gholami	#N/A
ppb.iBAQ.H23_1_Gholami	H23		CellLine	Lung	Gholami	#N/A
ppb.iBAQ.H322_1_Gholami	H322		CellLine	Lung	Gholami	#N/A
ppb.iBAQ.H460_1_Gholami	H460		CellLine	Lung	Gholami	#N/A
ppb.iBAQ.H460_1_Gholami_deepProteome	H460		CellLine	Lung	Gholami	#N/A
ppb.iBAQ.H522_1_Gholami	H522		CellLine	Lung	Gholami	#N/A
ppb.iBAQ.HCA46_1_Frejno	HCA46		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.HCA7_1_Frejno	HCA7		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.HCA7_1_Wang	HCA7		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.HCC1143_1_Lawrence	HCC1143		CellLine	Breast	Lawrence	TNB (triple negative)
ppb.iBAQ.HCC1143_2_Lawrence	HCC1143		CellLine	Breast	Lawrence	TNB (triple negative)
ppb.iBAQ.HCC1599_1_Lawrence	HCC1599		CellLine	Breast	Lawrence	TNB (triple negative)
ppb.iBAQ.HCC1599_2_Lawrence	HCC1599		CellLine	Breast	Lawrence	TNB (triple negative)
ppb.iBAQ.HCC1806_1_Lawrence	HCC1806		CellLine	Breast	Lawrence	TNB (triple negative)
ppb.iBAQ.HCC1806_2_Lawrence	HCC1806		CellLine	Breast	Lawrence	TNB (triple negative)
ppb.iBAQ.HCC1937_1_Lawrence	HCC1937		CellLine	Breast	Lawrence	TNB (triple negative)
ppb.iBAQ.HCC1937_2_Lawrence	HCC1937		CellLine	Breast	Lawrence	TNB (triple negative)
ppb.iBAQ.HCC2998_1_Gholami	HCC2998		CellLine	Colorectal	Gholami	#N/A
ppb.iBAQ.HCC2998_1_Wang	HCC2998		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.HCC38_1_Lawrence	HCC38		CellLine	Breast	Lawrence	TNB (triple negative)
ppb.iBAQ.HCC38_2_Lawrence	HCC38		CellLine	Breast	Lawrence	TNB (triple negative)
ppb.iBAQ.HCT116_1_Bekker.Jensen_Tryp_46Fractions	HCT116		CellLine	Colorectal	Bekker.Jensen	#N/A
ppb.iBAQ.HCT116_1_Frejno	HCT116		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.HCT116_1_Gholami	HCT116		CellLine	Colorectal	Gholami	#N/A
ppb.iBAQ.HCT116_1_Wang	HCT116		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.HCT116_2_Bekker.Jensen_Tryp_46Fractions	HCT116		CellLine	Colorectal	Bekker.Jensen	#N/A
ppb.iBAQ.HCT15_1_Gholami	HCT15		CellLine	Colorectal	Gholami	#N/A
ppb.iBAQ.HCT15_1_Wang	HCT15		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.HCT8_1_Wang	HCT8		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.HDC111_1_Frejno	HDC111		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.HDC114_1_Frejno	HDC114		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.HDC135_1_Frejno	HDC135		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.HDC142_1_Frejno	HDC142		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.HDC143_1_Frejno	HDC143		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.HDC54_1_Frejno	HDC54		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.HDC57_1_Frejno	HDC57		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.HDC73_1_Frejno	HDC73		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.HDC8_1_Frejno	HDC8		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.HDC82_1_Frejno	HDC82		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.HDC9_1_Frejno	HDC9		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.Hela_1_Bekker.Jensen_Tryp_39Fractions	HELA		CellLine	Cervix	Bekker.Jensen	#N/A
ppb.iBAQ.Hela_1_Bekker.Jensen_Tryp_46Fractions	HELA		CellLine	Cervix	Bekker.Jensen	#N/A
ppb.iBAQ.Hela_1_Bekker.Jensen_Tryp_70Fractions	HELA		CellLine	Cervix	Bekker.Jensen	#N/A
ppb.iBAQ.Hela_1_Geiger	HELA		CellLine	Cervix	Geiger	#N/A
ppb.iBAQ.Hela_2_Geiger	HELA		CellLine	Cervix	Geiger	#N/A
ppb.iBAQ.Hela_3_Geiger	HELA		CellLine	Cervix	Geiger	#N/A
ppb.iBAQ.HepG2_1_Geiger	HEPG2		CellLine	Liver	Geiger	#N/A
ppb.iBAQ.HepG2_2_Geiger	HEPG2		CellLine	Liver	Geiger	#N/A
ppb.iBAQ.HepG2_3_Geiger	HEPG2		CellLine	Liver	Geiger	#N/A
ppb.iBAQ.HL60_1_Gholami	HL60		CellLine	Blood	Gholami	#N/A
ppb.iBAQ.HOP62_1_Gholami	HOP62		CellLine	Lung	Gholami	#N/A
ppb.iBAQ.HOP92_1_Gholami	HOP92		CellLine	Lung	Gholami	#N/A
ppb.iBAQ.HRA19_1_Frejno	HRA19		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.HRA19_1_Wang	HRA19		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.HS578T_1_Gholami	HS578T		CellLine	Breast	Gholami	TNB (triple negative)
ppb.iBAQ.HS578T_1_Lawrence	HS578T		CellLine	Breast	Lawrence	TNB (triple negative)
ppb.iBAQ.HS578T_2_Lawrence	HS578T		CellLine	Breast	Lawrence	TNB (triple negative)
ppb.iBAQ.HT115_1_Wang	HT115		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.HT29_1_Frejno	HT29		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.HT29_1_Gholami	HT29		CellLine	Colorectal	Gholami	#N/A
ppb.iBAQ.HT29_1_Wang	HT29		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.HT55_1_Frejno	HT55		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.HT55_1_Wang	HT55		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.IGROV.1.CP_1_Coscia	IGROV1CP		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.IGROV.1.CP_2_Coscia	IGROV1CP		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.IGROV.1.CP_3_Coscia	IGROV1CP		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.IGROV1_1_Coscia	IGROV1		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.IGROV1_1_Gholami	IGROV1		CellLine	Ovary	Gholami	#N/A
ppb.iBAQ.IGROV1_2_Coscia	IGROV1		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.IGROV1_3_Coscia	IGROV1		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.IOSE397_1_Coscia	IOSE397		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.IOSE397_2_Coscia	IOSE397		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.IOSE397_3_Coscia	IOSE397		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.IOSE7576_1_Coscia	IOSE7576		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.IOSE7576_2_Coscia	IOSE7576		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.IOSE7576_3_Coscia	IOSE7576		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.Isreco.1_1_Wang	ISRECO1		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.Isreco.2_1_Wang	ISRECO2		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.Isreco.3_1_Wang	ISRECO3		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.JHOS.2_1_Coscia	JHOS2		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.JHOS.2_2_Coscia	JHOS2		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.JHOS.2_3_Coscia	JHOS2		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.JHOS.4_1_Coscia	JHOS4		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.JHOS.4_2_Coscia	JHOS4		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.JHOS.4_3_Coscia	JHOS4		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.Jurkat_1_Geiger	JURKAT		CellLine	Blood	Geiger	#N/A
ppb.iBAQ.Jurkat_2_Geiger	JURKAT		CellLine	Blood	Geiger	#N/A
ppb.iBAQ.Jurkat_3_Geiger	JURKAT		CellLine	Blood	Geiger	#N/A
ppb.iBAQ.K562_1_Geiger	K562		CellLine	Blood	Geiger	#N/A
ppb.iBAQ.K562_1_Gholami	K562		CellLine	Blood	Gholami	#N/A
ppb.iBAQ.K562_2_Geiger	K562		CellLine	Blood	Geiger	#N/A
ppb.iBAQ.K562_3_Geiger	K562		CellLine	Blood	Geiger	#N/A
ppb.iBAQ.KM12_1_Gholami	KM12		CellLine	Colorectal	Gholami	#N/A
ppb.iBAQ.KURAMOCHI_1_Coscia	KURAMOCHI		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.KURAMOCHI_2_Coscia	KURAMOCHI		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.KURAMOCHI_3_Coscia	KURAMOCHI		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.LIM1215_1_Wang	LIM1215		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.LIM1863_1_Frejno	LIM1863		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.LIM1863_1_Wang	LIM1863		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.LIM1899_1_Wang	LIM1899		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.LIM2099_1_Wang	LIM2099		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.LIM2405_1_Wang	LIM2405		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.LIM2537_1_Wang	LIM2537		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.LIM2551_1_Wang	LIM2551		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.LnCap_1_Geiger	LNCAP		CellLine	Lymph.node	Geiger	#N/A
ppb.iBAQ.LnCap_2_Geiger	LNCAP		CellLine	Lymph.node	Geiger	#N/A
ppb.iBAQ.LnCap_3_Geiger	LNCAP		CellLine	Lymph.node	Geiger	#N/A
ppb.iBAQ.LOVO_1_Frejno	LOVO		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.LOX.IMVI_1_Gholami	LOXIMVI		CellLine	Lymph.node	Gholami	#N/A
ppb.iBAQ.LS1034_1_Frejno	LS1034		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.LS123_1_Frejno	LS123		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.LS174T_1_Frejno	LS174T		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.LS180_1_Frejno	LS180		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.LS411_1_Frejno	LS411		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.LS513_1_Frejno	LS513		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.LS513_1_Wang	LS513		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.M14._1_Gholami	M14		CellLine	Skin	Gholami	#N/A
ppb.iBAQ.M14._1_Gholami_deepProteome	M14		CellLine	Skin	Gholami	#N/A
ppb.iBAQ.MALME.3M_1_Gholami	MALME3M		CellLine	Skin	Gholami	#N/A
ppb.iBAQ.MCF.7.AdrR_1_Gholami	MCF7ADRR		CellLine	Ovary	Gholami	#N/A
ppb.iBAQ.MCF7_1_Bekker.Jensen_Tryp_46Fractions	MCF7		CellLine	Breast	Bekker.Jensen	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.MCF7_1_Geiger	MCF7		CellLine	Breast	Geiger	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.MCF7_1_Gholami	MCF7		CellLine	Breast	Gholami	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.MCF7_1_Gholami_deepProteome	MCF7		CellLine	Breast	Gholami	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.MCF7_1_Lawrence	MCF7		CellLine	Breast	Lawrence	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.MCF7_2_Bekker.Jensen_Tryp_46Fractions	MCF7		CellLine	Breast	Bekker.Jensen	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.MCF7_2_Geiger	MCF7		CellLine	Breast	Geiger	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.MCF7_2_Lawrence	MCF7		CellLine	Breast	Lawrence	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.MCF7_3_Geiger	MCF7		CellLine	Breast	Geiger	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.MDAMB157_1_Lawrence	MDAMB157		CellLine	Breast	Lawrence	TNB (triple negative)
ppb.iBAQ.MDAMB157_2_Lawrence	MDAMB157		CellLine	Breast	Lawrence	TNB (triple negative)
ppb.iBAQ.MDAMB231_1_Gholami	MDAMB231		CellLine	Breast	Gholami	TNB (triple negative)
ppb.iBAQ.MDAMB231_1_Lawrence	MDAMB231		CellLine	Breast	Lawrence	TNB (triple negative)
ppb.iBAQ.MDAMB231_2_Lawrence	MDAMB231		CellLine	Breast	Lawrence	TNB (triple negative)
ppb.iBAQ.MDA.MB.435_1_Gholami	MDAMB435		CellLine	Skin	Gholami	#N/A
ppb.iBAQ.MDAMB436_1_Lawrence	MDAMB436		CellLine	Breast	Lawrence	TNB (triple negative)
ppb.iBAQ.MDAMB436_2_Lawrence	MDAMB436		CellLine	Breast	Lawrence	TNB (triple negative)
ppb.iBAQ.MDAMB453_1_Lawrence	MDAMB453		CellLine	Breast	Lawrence	HER2 (receptor tyrosine-protein kinase erbB-2 amplified)
ppb.iBAQ.MDAMB453_2_Lawrence	MDAMB453		CellLine	Breast	Lawrence	HER2 (receptor tyrosine-protein kinase erbB-2 amplified)
ppb.iBAQ.MDAMB468_1_Lawrence	MDAMB468		CellLine	Breast	Lawrence	TNB (triple negative)
ppb.iBAQ.MDAMB468_2_Lawrence	MDAMB468		CellLine	Breast	Lawrence	TNB (triple negative)
ppb.iBAQ.ME180_1_Coscia	ME180		CellLine	Cervix	Coscia	#N/A
ppb.iBAQ.ME180_2_Coscia	ME180		CellLine	Cervix	Coscia	#N/A
ppb.iBAQ.ME180_3_Coscia	ME180		CellLine	Cervix	Coscia	#N/A
ppb.iBAQ.ME180C13_1_Coscia	ME180C13		CellLine	Cervix	Coscia	#N/A
ppb.iBAQ.ME180C13_2_Coscia	ME180C13		CellLine	Cervix	Coscia	#N/A
ppb.iBAQ.ME180C13_3_Coscia	ME180C13		CellLine	Cervix	Coscia	#N/A
ppb.iBAQ.MFM223_1_Lawrence	MFM223		CellLine	Breast	Lawrence	TNB (triple negative)
ppb.iBAQ.MFM223_2_Lawrence	MFM223		CellLine	Breast	Lawrence	TNB (triple negative)
ppb.iBAQ.MOLT4_1_Gholami	MOLT4		CellLine	Blood	Gholami	#N/A
ppb.iBAQ.NCI.H548_1_Frejno	H548		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.NCI.H716_1_Frejno	H716		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.NCI.H747_1_Frejno	H747		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.NCI.H747_1_Wang	H747		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.OVCA433_1_Coscia	OVCA433		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.OVCA433_2_Coscia	OVCA433		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.OVCA433_3_Coscia	OVCA433		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.OVCAR.3_1_Coscia	OVCAR3		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.OVCAR.3_1_Gholami	OVCAR3		CellLine	Ovary	Gholami	#N/A
ppb.iBAQ.OVCAR.3_2_Coscia	OVCAR3		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.OVCAR.3_3_Coscia	OVCAR3		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.OVCAR.4_1_Gholami	OVCAR4		CellLine	Ovary	Gholami	#N/A
ppb.iBAQ.OVCAR.5_1_Coscia	OVCAR5		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.OVCAR.5_1_Gholami	OVCAR5		CellLine	Ovary	Gholami	#N/A
ppb.iBAQ.OVCAR.5_2_Coscia	OVCAR5		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.OVCAR.5_3_Coscia	OVCAR5		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.OVCAR.8_1_Gholami	OVCAR8		CellLine	Ovary	Gholami	#N/A
ppb.iBAQ.OVISE_1_Coscia	OVISE		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.OVISE_2_Coscia	OVISE		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.OVISE_3_Coscia	OVISE		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.OVKATE_1_Coscia	OVKATE		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.OVKATE_2_Coscia	OVKATE		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.OVKATE_3_Coscia	OVKATE		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.OVSAHO_1_Coscia	OVSAHO		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.OVSAHO_2_Coscia	OVSAHO		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.OVSAHO_3_Coscia	OVSAHO		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.OXCO1_1_Frejno	OXCO1		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.OXCO3_1_Frejno	OXCO3		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.PC3_1_Gholami	PC3		CellLine	Prostate	Gholami	#N/A
ppb.iBAQ.PC3_1_Gholami_deepProteome	PC3		CellLine	Prostate	Gholami	#N/A
ppb.iBAQ.PCJW_1_Frejno	PCJW		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.PEO1_1_Coscia	PEO1		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.PEO1_2_Coscia	PEO1		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.PEO1_3_Coscia	PEO1		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.PEO4_1_Coscia	PEO4		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.PEO4_2_Coscia	PEO4		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.PEO4_3_Coscia	PEO4		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.RCM1_1_Frejno	RCM1		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.RKO_1_Frejno	RKO		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.RKO_1_Geiger	RKO		CellLine	Colorectal	Geiger	#N/A
ppb.iBAQ.RKO_1_Wang	RKO		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.RKO_2_Geiger	RKO		CellLine	Colorectal	Geiger	#N/A
ppb.iBAQ.RKO_3_Geiger	RKO		CellLine	Colorectal	Geiger	#N/A
ppb.iBAQ.RPMI8226_1_Gholami	RPMI8226		CellLine	Blood	Gholami	#N/A
ppb.iBAQ.RXF393L_1_Gholami	RXF393		CellLine	Kidney	Gholami	#N/A
ppb.iBAQ.RXF393L_1_Gholami_deepProteome	RXF393		CellLine	Kidney	Gholami	#N/A
ppb.iBAQ.SF268_1_Gholami	SF268		CellLine	Brain	Gholami	#N/A
ppb.iBAQ.SF295_1_Gholami	SF295		CellLine	Brain	Gholami	#N/A
ppb.iBAQ.SF539_1_Gholami	SF539		CellLine	Brain	Gholami	#N/A
ppb.iBAQ.SHSY5Y_1_Bekker.Jensen_Tryp_46Fractions	SHSY5Y		CellLine	Brain	Bekker.Jensen	#N/A
ppb.iBAQ.SHSY5Y_2_Bekker.Jensen_Tryp_46Fractions	SHSY5Y		CellLine	Brain	Bekker.Jensen	#N/A
ppb.iBAQ.SKBR3_1_Lawrence	SKBR3		CellLine	Breast	Lawrence	HER2 (receptor tyrosine-protein kinase erbB-2 amplified)
